"nomescomp","BAG1501","CAR1301","CAR1302","CAR1303","CCA1302","CCE1302","CGR1401","CGR1402","CGR1403","CGR1901","CGR1902","CGU1401","CGU1402","CGU1403","CGU1404","CMC1401","CMC1402","CMC1403","CMM1401","CMM1402","CMM1403","CSR1301","CSR1302","CSR1303","CSR1905","CSR1906","CSR1907","JAG1401","JAG1402","LAV1401","LAV1402","QUA1401","QUA1402","SAT1401","SAT1402","SAT1404","SAT1405","SAT1406","SLI1401","SLI1402","SLI1403","SLI1404","SLI1405","SPS1402","SPS1403","SPS1405","SPS1406","sp.grupo"
"Ancibrev","Ancistrus.brevipinnis",0,1,0,5,0,0,0,0,0,0,0,1,0,1,0,7,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG1"
"Ancitaun","Ancistrus.taunayi",3,0,0,0,4,0,1,0,6,0,0,0,7,0,0,0,0,0,0,0,0,15,78,2,2,9,1,0,0,0,8,0,13,0,8,2,5,4,0,0,60,0,8,0,11,89,37,"FG1"
"Aphyanis","Aphyocharax.anisitsi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,24,0,2,0,0,0,0,0,"FG2"
"Apiscomm","Apistogramma.commbrae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG3"
"Astyfasc1","Astyanax.aff..fasciatus",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG4"
"Astyaram","Astyanax.aramburui",0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG5"
"Astydiss","Astyanax.dissensus",0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,42,0,0,12,0,0,98,16,0,50,54,0,0,0,0,"FG4"
"Astyeige","Astyanax.eigenmanniorum",1,9,1,32,1,0,0,0,0,0,0,21,0,7,0,6,8,0,24,2,0,0,0,8,0,4,0,5,7,0,0,13,0,0,0,0,0,0,32,12,64,2,0,0,19,0,0,"FG5"
"Astyfasc1.1","Astyanax.fasciatus",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"FG4"
"Astyhens","Astyanax.henseli",0,52,2,57,0,71,10,8,0,1,0,0,0,0,2,1,0,0,12,76,17,5,4,4,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,42,0,0,0,9,0,3,0,"FG4"
"Astylacu","Astyanax.lacustris",0,0,0,0,0,2,44,1,2,80,28,0,6,0,0,0,0,0,27,139,0,3,0,0,4,203,50,0,0,11,46,2,4,0,0,0,0,9,0,50,0,40,38,2,0,0,2,"FG5"
"Astylati","Astyanax.laticeps",0,12,5,15,0,0,4,0,1,0,0,8,67,6,0,3,2,0,7,20,1,0,0,2,0,0,0,2,0,0,0,1,0,31,33,0,18,32,0,0,2,2,12,0,3,0,0,"FG5"
"Astypari","Astyanax.paris",0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG5"
"Astyproc","Astyanax.procerus",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,11,16,0,0,"FG4"
"Astysagu","Astyanax.saguazu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG5"
"Astysp1","Astyanax.sp..1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,"FG5"
"Astysp2","Astyanax.sp.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,95,"FG5"
"Astysten","Astyanax.stenohalinus",0,0,0,0,0,0,0,0,0,28,83,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG5"
"Astyxiru","Astyanax.xiru",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,21,43,"FG5"
"Austacar","Australoheros.acaroides",0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG6"
"Austface","Australoheros.facetus",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG6"
"Austminu","Australoheros.minuano",5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,25,0,0,2,0,0,0,0,0,16,0,0,24,38,16,0,4,0,0,2,3,"FG3"
"Austscit","Australoheros.scitulus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG3"
"Austsp","Australoheros.sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG3"
"Bracbomb","Brachyhypopomus.bombilla",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,"FG7"
"Bryciher","Bryconamericus.iheringii",217,176,35,134,4,12,0,141,168,87,8,49,0,55,34,43,119,8,68,221,114,15,4,29,5,12,103,44,180,358,0,17,8,0,13,119,0,12,80,30,580,150,280,137,157,108,151,"FG5"
"Brycsp","Bryconamericus.sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG5"
"Brycytu","Bryconamericus.ytu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG5"
"Bunodori","Bunocephalus.doriae",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG8"
"Callcall","Callichthys.callichthys",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"FG9"
"Charzebr","Characidium.aff..zebra",0,0,0,0,0,4,0,0,0,26,2,0,0,0,0,0,0,0,0,4,0,34,0,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,52,146,0,0,0,0,0,0,0,"FG10"
"Charocci","Characidium.occidentale",3,0,0,0,1,4,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,26,0,0,0,0,0,0,0,0,37,0,0,192,0,56,22,14,29,1,0,0,"FG10"
"Charorie","Characidium.orientale",0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG10"
"Charpter","Characidium.pterostictum",89,8,1,2,26,1,0,5,1,0,0,26,29,0,36,14,13,9,0,0,0,21,11,0,0,0,0,23,0,3,0,8,67,0,14,79,0,15,0,0,56,22,164,7,48,114,82,"FG10"
"Charrach","Characidium.rachovii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG10"
