	Acestrorhynchus.pantaneiro	Ancistrus.brevipinnis	Ancistrus.taunayi	Apareiodon.affinis	Aphyocharax.anisitsi	Apistogramma.commbrae	Astyanax.aff..fasciatus	Astyanax.aramburui	Astyanax.dissensus	Astyanax.eigenmanniorum	Astyanax.fasciatus	Astyanax.henseli	Astyanax.lacustris	Astyanax.laticeps	Astyanax.paris	Astyanax.procerus	Astyanax.saguazu	Astyanax.sp..1	Astyanax.sp.2	Astyanax.stenohalinus	Astyanax.xiru	Australoheros.acaroides	Australoheros.facetus	Australoheros.minuano	Australoheros.scitulus	Australoheros.sp.	Brachyhypopomus.bombilla	Bryconamericus.iheringii	Bryconamericus.sp.	Bryconamericus.ytu	Bunocephalus.doriae	Callichthys.callichthys	Characidium.aff..zebra	Characidium.occidentale	Characidium.orientale	Characidium.pterostictum	Characidium.rachovii	Characidium.tenue	Charax.stenopterus	Cheirodon.ibicuhiensis	Cheirodon.interruptus	Cichlasoma.dimerus	Cnesterodon.decemmaculatus	Corydoras.longipinnis	Corydoras.paleatus	Corydoras.sp.	Corydoras.undulatus	Crenicichla.cf..scottii	Crenicichla.lepidota	Crenicichla.punctata	Crenicichla.scottii	Cyphocharax.saladensis	Cyphocharax.spilotus	Cyphocharax.voga	Diapoma.alburnum	Diapoma.alegretensis	Diapoma.speculiferum	Diapoma.terofali	Diapoma.thauma	Diapoma.uruguayensis	Eigenmannia.trilineata	Gymnogeophagus.gymnogenys	Gymnogeophagus.labiatus	Gymnogeophagus.mekinos	Gymnogeophagus.meridionalis	Gymnogeophagus.pseudolabiatus	Gymnogeophagus.rhabdotus	Gymnogeophagus.sp..n.	Gymnogeophagus.terrapurpura	Gymnotus.carapo	Gymnotus.cuia	Hemiancistrus.chlorostictus	Hemiancistrus.fuliginosus	Hemiancistrus.punctulatus	Heptapterus.exilis	Heptapterus.mustelinus	Heptapterus.sympterygium	Heterocheirodon.yatai	Hisonotus.armatus	Hisonotus.charrua	Hisonotus.laevior	Hisonotus.notopagos	Hisonotus.ringueleti	Homodiaetus.anisitsi	Hoplias.aff..malabaricus	Hoplias.lacerdae	Hyphessobrycon.anisitsi	Hyphessobrycon.luetkenii	Hyphessobrycon.meridionalis	Hyphessobrycon.togoi	Hypobrycon.sp.	Hypostomus.aspilogaster	Hypostomus.commersonii	Hypostomus.uruguayensis	Imparfinis.mishky	Ituglanis.australis	Ituglanis.inusitatus	Laetacara.dorsigera	Loricariichthys.melanocheilus	Macropsobrycon.uruguayanae	Microglanis.cottoides	Microglanis.malabarbai	Mimagoniates.inequalis	Moenkhausia.bonita	Moenkhausia.dichroura	Odontostilbe.pequira	Oligosarcus.jacuiensis	Oligosarcus.jenynsii	Oligosarcus.oligolepis	Oligosarcus.robustus	Oligosarcus.sp.	Otocinclus.arnoldi	Otocinclus.flexilis	Phalloceros.caudimaculatus	Pimelodella.australis	Pseudobunocephalus.iheringii	Pseudocorynopoma.doriae	Pseudohemiodon.laticeps	Rhamdella.eriarcha	Rhamdella.longiuscula	Rhamdia.sp1	Rhamdia.sp2	Rineloricaria.anitae	Rineloricaria.cadeae	Rineloricaria.longicauda	Rineloricaria.microlepidogaster	Rineloricaria.sanga	Rineloricaria.stellata	Rineloricaria.strigilata	Rineloricaria.zaina	Scleronema.cf..minutum	Scleronema.minutum	Scleronema.operculatum	Scleronema.sp..4	Scleronema.sp..5	Scleronema.sp.3	Serrapinnus.calliurus	Steindachnerina.biornata	Steindachnerina.brevipinna	Synbranchus.marmoratus
BAG1501	0	0	3	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	217	0	0	0	0	0	3	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	116	0	0	0	7	0	0	7	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	1	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	0	0	0	0	0	12	0	0	0	35	0	0	0	0	0	1	0	1
BAG1502	0	0	0	0	0	0	2	0	5	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	5	0	0	10	0	0	0	0	0	0	0	0	17	0	0	0	4	0	2	0	0	3	0	0	0	1	0	18	0	0	0	7	0	0	3	0	0	0	0	0	0	0	0	6	0	0	0	8	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	36	0	1	0	0	0	1	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	4	0	0
BAG1503	0	0	6	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	3	0	2	0	0	6	0	0	0	0	1	0	0	0	78	0	0	0	0	0	0	0	0	1	0	0	0	0	0	20	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	82	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	27	0	0	66	0	5	0	0	0	0	0	0	0	0	0	0	26	0	0	0	60	0	0	2	0	0	0	0	0
CAR1301	0	1	0	0	0	0	0	0	0	9	0	52	0	12	0	0	0	0	0	0	0	27	0	0	0	0	0	176	0	0	0	0	0	0	9	8	0	0	0	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	17	0	20	0	0	0	0	36	0	0	0	8	0	0	0	0	3
CAR1302	0	0	0	0	0	0	0	0	0	1	0	2	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	4	1	0	0	0	0	27	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	42	0	0	0	0	3	0	0	0	1	0	0	12	0	0	0	0	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	22	0	0	0	0	0	0	14	0	0	0	0	3	0	0	0	0	0	4	0	0	0	0	2
CAR1303	0	5	0	0	0	0	0	0	0	32	0	57	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	55	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	17	0	0	8	0	9	0	0	0	0	130	0	0	0	0	0	0	0	0	0
CCA1301	0	0	2	0	0	0	0	0	2	0	0	0	36	2	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCA1302	0	0	4	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	5	0	0	1	0	26	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	22	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	1	0	0	0	4	0	4	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	2	1	0	0	0	0	0	2
CCA1303	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0
CCE1301	0	0	2	0	0	1	0	0	0	0	0	41	8	0	0	0	0	0	0	0	0	0	0	0	3	0	0	14	0	0	0	0	0	9	0	43	0	0	2	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	50	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	26	0	17	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
