Pontos	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	bacia	area
BAG1501	92.81	94.39	88.70	96.36	93.13	96.47	94.74	88.78	97.03	95.28	93.68	96.78	94.15	94.15	95.05	94.45	68.96	69.50	72.83	68.93	75.13	74.33	77.23	71.44	73.10	77.46	84.08	76.59	77.26	70.53	80.02	76.64	78.77	PATOS	12.60
BAG1502	91.33	89.42	86.71	91.48	80.76	88.43	90.98	90.77	94.61	90.29	87.26	92.21	97.36	97.36	95.46	95.46	95.72	94.05	93.08	93.92	93.77	86.15	85.02	88.05	87.74	85.28	86.77	83.86	83.85	83.07	82.49	85.84	83.03	PATOS	24.10
BAG1503	98.54	97.44	96.37	94.22	98.03	94.25	93.36	95.16	96.95	97.24	97.85	97.19	95.66	95.66	98.44	99.26	97.31	97.96	98.29	95.11	97.85	95.69	96.23	95.51	95.89	98.01	98.13	95.22	94.06	94.75	94.35	94.60	94.99	PATOS	48.23
CAR1301	97.69	95.03	98.49	95.28	92.69	93.01	93.00	98.24	97.02	96.20	94.39	93.32	80.03	79.98	94.85	97.79	98.28	98.92	91.43	98.24	98.85	98.86	98.42	96.76	99.09	98.34	96.77	97.50	98.82	98.94	99.44	99.15	97.87	PATOS	9.47
CAR1302	90.44	85.23	91.96	87.64	84.38	88.56	86.58	93.51	88.11	92.78	89.88	86.63	78.40	78.41	92.21	91.90	91.27	97.61	80.02	94.57	97.85	96.56	92.58	93.82	97.59	95.77	93.89	93.19	98.19	95.40	97.07	94.21	95.36	PATOS	39.16
CAR1303	96.57	97.06	98.14	90.59	89.62	90.49	91.83	97.05	91.53	93.30	91.96	87.66	88.13	87.96	84.85	94.96	97.03	96.32	89.06	96.89	97.44	97.47	93.13	95.07	96.05	97.70	89.37	95.62	95.61	97.55	98.10	97.28	95.49	PATOS	6.09
CCA1301	98.08	98.02	97.30	96.86	94.04	97.60	98.38	88.20	94.01	98.49	93.07	95.51	80.31	79.95	93.53	98.13	80.40	87.65	85.09	95.70	96.20	97.48	99.78	90.93	93.91	97.78	95.38	89.74	99.03	99.23	96.18	81.22	75.59	URUGUAI	2.99
CCA1302	79.74	79.60	77.01	68.59	58.64	81.89	81.32	79.74	73.48	84.24	74.38	66.98	70.50	70.56	69.40	83.68	70.99	63.31	81.12	82.60	76.58	85.89	87.76	82.50	80.59	85.56	71.45	68.67	80.40	84.76	85.15	78.80	74.58	URUGUAI	33.22
CCA1303	69.55	64.08	60.11	53.26	43.20	62.72	63.81	62.68	54.59	72.12	61.12	61.82	65.65	65.68	53.56	71.51	59.87	54.46	70.72	60.07	60.27	62.55	70.79	64.97	57.40	78.00	56.81	62.27	64.74	65.83	63.43	64.43	64.96	URUGUAI	34.89
CCE1301	59.09	65.62	65.98	69.58	68.52	69.28	70.95	66.92	70.71	66.54	65.40	69.46	62.10	61.93	72.67	70.95	72.83	70.65	71.04	78.46	77.25	80.00	79.32	76.74	79.84	77.72	77.61	72.73	84.87	81.91	82.05	80.17	68.95	URUGUAI	15.20
