	T60	T80	mag	freq
BAG1501	0	13	-73.4193958	11
BAG1502	0	0	-43.38336494	9
BAG1503	0	0	-23.6701218	9
CAR1301	0	15	-38.63072478	7
CAR1302	0	16	-65.53206547	10
CAR1303	0	0	-43.63455968	8
CCA1301	0	15	-72.37019513	8
CCA1302	24	28	-98.36632189	8
CCA1303	25	28	-120.9625617	8
CCE1301	28	28	-36.37001101	10
CCE1302	0	0	-39.73958231	8
CCE1303	0	0	-33.4943284	9
CGR1401	0	0	-9.91088852	8
CGR1402	0	0	-16.18155273	8
CGR1403	0	0	-12.06174591	11
CGR1901	0	1	-48.06648623	13
CGR1902	11	32	-99.21361434	11
CGR1903	8	34	-141.0776848	10
CGR1904	33	34	-91.29741558	10
CGU1401	0	28	-129.8726035	9
CGU1402	0	0	-60.37106	10
CGU1403	0	27	-86.03748422	10
CGU1404	0	0	-31.78438607	8
CMC1401	0	0	-16.81899753	10
CMC1402	0	0	-32.00643887	8
CMC1403	0	0	-35.94194258	9
CMM1401	0	0	-17.55560873	10
CMM1402	0	0	-22.66681432	10
CMM1403	0	0	-11.08247326	10
CSR1301	0	21	-45.80953464	10
CSR1302	0	0	-13.38695749	7
CSR1303	0	6	-62.42621087	9
CSR1904	18	25	-51.62082742	9
CSR1905	0	0	-31.77626588	10
CSR1906	0	0	-38.49521198	10
CSR1907	0	0	-34.26491111	9
JAG1401	28	28	-242.5130113	11
JAG1402	0	0	-41.29401396	10
LAV1401	0	9	-77.13536295	8
LAV1402	30	28	-74.19518521	8
QUA1401	0	25	-74.49565593	8
QUA1402	0	17	-52.24160149	7
QUA1403	28	28	-35.51120655	10
SAT1401	28	28	-31.8799257	9
SAT1402	0	16	-24.32059744	8
SAT1403	0	0	-30.62440527	9
SAT1404	16	28	-76.93030919	9
SAT1405	0	0	-21.44724101	10
SAT1406	28	28	-31.69500772	8
SLI1401	0	0	-39.18722338	8
SLI1402	2	7	-82.07591586	8
SLI1403	0	0	-16.81387098	6
SLI1404	0	0	-40.12084475	9
SLI1405	0	0	-28.54690186	9
SPS1401	0	0	-39.65286373	9
SPS1402	7	28	-57.86673776	8
SPS1403	10	23	-73.34049616	6
SPS1404	1	16	-60.73087109	7
SPS1405	0	7	-39.855384	9
SPS1406	12	13	-91.24756467	8
