FID,Name,Codigo_Ca,X,Y
58,BAG-EVIII-PA-1501,BAG1501,-53.9287278,-31.30320851
59,BAG-EVIII-PA-1502,BAG1502,-53.84476082,-31.3905322
57,BAG-EVIII-PA-1503,BAG1503,-54.35905036,-31.25505944
20,SBV-CAR-PA-1301,CAR1301,-53.22713,-30.854714
21,SBV-CAR-PA-1302,CAR1302,-53.240583,-30.85017
22,SBV-CAR-PA-1303,CAR1303,-53.194339,-30.823874
8,ALE-CCA-PA-1301,CCA1301,-55.381141,-29.763297
9,ALE-CCA-PA-1302,CCA1302,-55.398571,-29.768941
10,ALE-CCA-PA-1303,CCA1303,-55.415024,-29.780183
17,SAM-CCE-PA-1301,CCE1301,-55.480953,-28.544939
18,SAM-CCE-PA-1302,CCE1302,-55.437127,-28.552564
19,SAM-CCE-PA-1303,CCE1303,-55.469611,-28.51503
38,LAV-CGR-PA-1401,CGR1401,-54.39869,-30.791678
41,LAV-CGR-PA-1402,CGR1402,-54.414419,-30.801192
39,LAV-CGR-PA-1403,CGR1403,-54.439343,-30.783288
5,ACE-CGR-PA-1901,CGR1901,-54.09638877,-31.51164071
6,ACE-CGR-PA-1902,CGR1902,-54.20334927,-31.64426115
7,ACE-CGR-PA-1903,CGR1903,-54.14511403,-31.55229677
4,ACE-CGR-PA-1904,CGR1904,-54.31798893,-31.65673239
47,CGU-EXV-PA-1401,CGU1401,-52.809736,-31.297286
48,CGU-EXV-PA-1402,CGU1402,-52.762276,-30.972135
49,CGU-EXV-PA-1403,CGU1403,-52.803984,-31.152153
50,CGU-EXV-PA-1404,CGU1404,-53.095001,-31.288816
11,JAG-CMC-PA-1401,CMC1401,-53.436979,-32.231235
12,JAG-CMC-PA-1402,CMC1402,-53.454674,-32.241086
13,JAG-CMC-PA-1403,CMC1403,-53.39548,-32.252567
23,SGA-CMM-PA-1401,CMM1401,-54.307873,-30.102347
24,SGA-CMM-PA-1402,CMM1402,-54.305257,-30.092249
25,SGA-CMM-PA-1403,CMM1403,-54.326217,-30.125123
14,QUA-CSR-PA-1301,CSR1301,-55.92623,-30.304496
15,QUA-CSR-PA-1302,CSR1302,-55.966083,-30.292338
16,QUA-CSR-PA-1303,CSR1303,-55.97125,-30.28349
0,ALE-CSR-PA-1904,CSR1904,-56.05917775,-29.90995903
1,ALE-CSR-PA-1905,CSR1905,-56.00484541,-29.90926244
3,ALE-CSR-PA-1906,CSR1906,-55.98482948,-29.88412233
2,ALE-CSR-PA-1907,CSR1907,-55.99583421,-29.9937849
51,JAG-EXVI-PA-1401,JAG1401,-53.364183,-32.503109
52,JAG-EXVI-PA-1402,JAG1402,-53.375667,-32.255999
40,LAV-EXIII-PA-1401,LAV1401,-54.503307,-30.922966
56,LAV-EXIII-PA-1402,LAV1402,-54.93902851,-30.91242964
53,QUA-EXVII-PA_1401,QUA1401,-56.312233,-30.432216
54,QUA-EXVII-PA_1402,QUA1402,-56.266185,-30.423272
55,QUA-EXVII-PA_1403,QUA1403,-56.784917,-29.958534
32,SAT-EXII-PA-1401,SAT1401,-54.777171,-29.386775
33,SAT-EXII-PA-1402,SAT1402,-54.753204,-29.219682
34,SAT-EXII-PA-1403,SAT1403,-55.086094,-29.06387
35,SAT-EXII-PA-1404,SAT1404,-54.573496,-29.107878
36,SAT-EXII-PA-1405,SAT1405,-55.092778,-29.342805
37,SAT-EXII-PA-1406,SAT1406,-54.7128,-29.401742
42,SLI_EXIV-P-1401,SLI1401,-55.403403,-30.995075
43,SLI_EXIV-P-1402,SLI1402,-55.326052,-31.001799
44,SLI_EXIV-P-1403,SLI1403,-55.537394,-30.809709
45,SLI_EXIV-P-1404,SLI1404,-55.409159,-30.846739
46,SLI_EXIV-P-1405,SLI1405,-55.376349,-30.605547
26,SPS-EXI-PA-1401,SPS1401,-54.414926,-29.357235
27,SPS-EXI-PA-1402,SPS1402,-54.301585,-29.400262
28,SPS-EXI-PA-1403,SPS1403,-54.034254,-29.293941
29,SPS-EXI-PA-1404,SPS1404,-54.122079,-29.317881
30,SPS-EXI-PA-1405,SPS1405,-54.210625,-29.350231
31,SPS-EXI-PA-1406,SPS1406,-54.389707,-29.345179
