	insetivoro	herbivoro	detritivoro	parasita	piscivoro	omnivoro	aloctone	autoctone	nectonico	bentonico	compression_index	relative_height	eye_position	mouth_position	relative_head_length	relative_peduncle_length	compression_peduncle	pectoral_position	pectoral_area	ventral_area	dorsal_area	caudal_area	biomass	eye_size	Fonte dos dados Morfolgicos	Fonte de dados habitat
Ancistrus.brevipinnis	1	0	2	0	0	0	0	1	0	1	0.577347053	0.194606194	0.856587605	0	0.287296351	0.291912419	2.011981738	0.234820262	2.388487151	1.938240554	2.79653275	3.073959651	7.4763	0.191967242	"Dala-Corte, 2016"	"Langoni, 2015"
Ancistrus.taunayi	1	0	2	0	0	0	0	1	0	1	0.523380946	0.178737697	0.831515584	0	0.29635324	0.287883283	2.093067323	0.211405085	2.478974364	1.415565579	2.667354591	2.229390542	4.8263	0.185004363	"Dala-Corte, 2016"	"Pelo gnero, no h publicaes sobre a dieta da espcie"
Aphyocharax.anisitsi	3	0	0	0	0	0	0	1	1	0	2.007130325	0.286549963	0.601061854	0.485195795	0.267941084	0.128121952	2.629045601	0.22805594	0.34058642	0.230714754	0.668022787	1.630194376	0.26775	0.33377565	"Dala-Corte, 2016"	Novakowski e tal 2008; Santana-Porto & Andrian 2009; Quirino et al 2015; Hahn & Loureiro-Crippa 2006
Apistogramma.commbrae	2	1	0	0	0	0	0	1	1	1	1.889848812	0.349301397	0.652567976	0.329305136	0.358083832	0.117764471	4.556818182	0.510857143	0.468467066	0.610203593	1.402235529	1.524974052	0.358	0.357859532	"Dala-Corte, 2016"	Prado et al. 2016; Ximenes et al. 2011
Astyanax.aff.fasciatus	1	2	0	0	0	0	1	1	1	0	2.70889472	0.338303978	0.600822616	0.477769024	0.238322744	0.122710968	2.911736412	0.169967756	0.93416769	0.606985469	2.21535006	4.785228136	7.2435	0.348017492	"Dala-Corte, 2016 (utilizamos do A. fasciatus)"	Vilella et al. 2002
Astyanax.aramburui	2	1	0	0	0	0	1	1	1	0	2.70889472	0.338303978	0.600822616	0.477769024	0.238322744	0.122710968	2.911736412	0.169967756	0.93416769	0.606985469	2.21535006	4.785228136	7.2435	0.348017492	"Dala-Corte, 2016 (Utilizamos do A. fasciatus. Com base na chaveque consta  em Lucena et al 2013)"	
Astyanax.dissensus	1	2	0	0	0	0	1	1	1	0	2.673822032	0.37049822	0.58181269	0.492381624	0.26316475	0.114081717	2.729781515	0.174889589	0.734418747	0.545611737	1.800063148	3.553072328	2.7249	0.430498397	"Dala-Corte, 2016"	"Pelo gnero, no h publicaes sobre a dieta da espcie"
Astyanax.eigenmanniorum	2	1	0	0	0	0	1	1	1	0	2.430783056	0.361600596	0.604724496	0.538476364	0.260904792	0.112386474	2.542867247	0.160769679	0.63976577	0.458969706	1.500695139	3.576515089	3.3214	0.37158962	"Dala-Corte, 2016"	Vilella et al. 2002
Astyanax.fasciatus	1	2	0	0	0	0	1	1	1	0	2.70889472	0.338303978	0.600822616	0.477769024	0.238322744	0.122710968	2.911736412	0.169967756	0.93416769	0.606985469	2.21535006	4.785228136	7.2435	0.348017492	"Dala-Corte, 2016"	Vilella et al. 2002
Astyanax.henseli	1	2	0	0	0	0	1	1	1	0	2.399592287	0.346702162	0.62253367	0.545731787	0.268813735	0.116646771	2.429682019	0.177867739	0.879928704	0.56799941	1.761934151	3.72138866	5.3157	0.375855086	"Dala-Corte, 2016"	Luz-Agostinho et al
