"BAG1501" "CAR1301" "CAR1302" "CAR1303" "CCA1302" "CCE1302" "CGR1401" "CGR1402" "CGR1403" "CGR1901" "CGR1902" "CGU1401" "CGU1402" "CGU1403" "CGU1404" "CMC1401" "CMC1402" "CMC1403" "CMM1401" "CMM1402" "CMM1403" "CSR1301" "CSR1302" "CSR1303" "CSR1905" "CSR1906" "CSR1907" "JAG1401" "JAG1402" "LAV1401" "LAV1402" "QUA1401" "QUA1402" "SAT1401" "SAT1402" "SAT1404" "SAT1405" "SAT1406" "SLI1401" "SLI1402" "SLI1403" "SLI1404" "SLI1405" "SPS1402" "SPS1403" "SPS1405" "SPS1406"
"FG1" 3 21 3 18 4 0 1 0 6 0 0 27 7 30 7 8 18 7 0 0 0 34 84 2 3 14 3 0 1 3 8 1 14 1 8 20 5 4 0 0 60 0 8 2 11 97 49
"FG2" 116 4 22 0 21 55 177 116 34 30 118 0 0 0 0 26 11 95 34 1339 48 55 53 90 0 3 28 8 35 45 32 68 30 0 0 109 0 0 292 234 284 126 138 0 0 0 12
"FG3" 5 0 14 0 0 1 1 0 0 0 10 0 0 0 0 0 1 2 0 29 0 8 3 3 10 9 27 2 1 2 6 1 1 0 0 18 0 0 34 54 16 46 4 0 1 2 3
"FG4" 3 321 30 57 4 112 11 13 1 35 31 0 3 0 2 10 28 22 106 1314 48 12 5 64 0 0 131 1 13 7 0 13 43 2 10 16 0 0 124 168 34 52 64 20 16 3 1
"FG5" 218 197 41 181 6 14 48 142 171 211 129 78 73 69 35 59 129 8 126 382 115 18 5 39 26 228 363 51 187 375 46 33 12 31 46 119 18 53 112 92 652 194 330 139 199 158 291
"FG6" 14 61 2 1 0 2 64 18 25 117 0 0 0 0 0 0 7 0 3 30 1 2 11 29 7 6 21 0 1 0 8 6 0 0 0 2 0 0 52 48 26 22 18 0 0 0 0
"FG7" 1 3 4 0 2 11 1 0 0 0 0 0 3 0 1 7 5 19 1 1 3 7 2 2 0 7 3 8 2 0 1 2 3 0 0 3 0 0 22 5 0 7 8 0 0 0 0
"FG8" 100 57 55 185 47 42 67 75 42 10 16 22 56 87 32 97 145 239 25 53 86 172 400 148 2 34 34 75 28 1246 1 5 231 49 178 85 77 67 30 4 168 50 182 12 30 84 33
"FG9" 1 0 0 0 0 0 4 0 0 81 18 0 0 0 0 0 1 0 3 3 0 8 0 0 15 0 48 0 0 1 2 1 0 0 0 0 0 0 38 94 4 8 0 0 0 0 0
"FG10" 94 17 5 13 28 37 11 11 2 64 7 30 29 0 42 14 19 24 24 152 13 92 21 7 21 31 136 26 45 4 21 12 73 0 14 116 0 15 244 148 112 44 178 37 52 114 82
"FG11" 1 0 1 0 0 31 2 0 0 0 0 1 12 1 0 6 32 221 50 0 525 1 0 1 0 1 10 8 4 17 1 2 0 0 0 0 0 41 2 0 6 6 10 0 0 0 0
"FG12" 10 0 0 17 2 18 15 4 12 13 1 1 2 0 1 4 10 4 0 3 0 11 18 25 20 35 26 2 0 0 50 8 6 12 14 23 125 21 38 18 28 8 24 13 11 5 28
"FG13" 0 0 3 4 22 1 0 0 0 0 8 3 12 0 5 0 1 2 1 45 1 0 1 0 0 0 5 3 1 0 0 0 0 0 1 5 0 0 0 0 0 22 2 11 0 0 0
"FG14" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
"FG15" 1 0 3 0 0 0 6 0 0 1 0 3 0 1 0 0 2 3 1 6 1 2 0 0 4 2 11 0 7 8 5 5 2 0 1 0 0 0 2 10 0 2 2 2 2 0 1
"FG16" 29 5 12 0 4 9 0 0 0 0 0 0 0 4 0 33 11 232 9 43 0 5 0 13 3 0 97 535 10 0 0 89 22 0 0 6 0 0 12 2 0 16 0 0 0 0 0
"FG17" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"FG18" 12 17 17 8 28 5 28 19 10 0 4 0 0 0 3 32 22 136 11 87 1 46 10 5 2 0 0 5 4 34 5 16 5 50 6 17 0 0 12 2 26 46 52 9 8 24 5
